Fuel Type Code,Station Name,Street Address,City,State,ZIP,Station Phone,Groups With Access Code,Access Days Time,EV Network,Latitude,Longitude,Status Code
ELEC,Hove Buick-Nissan,1405 N Kinzie,Bradley,IL,60915,815-932-8600,Private,,Non-Networked,41.154031,-87.851483,E
ELEC,Monken Nissan - Centralia,1739 W McCord St,Centralia,IL,62801,618-545-5100,Public - Call ahead,Dealership business hours,Non-Networked,38.533452,-89.172979,E
ELEC,Continental Nissan,5750 S La Grange Rd,Countryside,IL,60525,708-352-9200,Public - Call ahead,Dealership business hours,Non-Networked,41.78586,-87.8685,E
ELEC,Continental Nissan,5750 S La Grange Rd,Countryside,IL,60525,708-352-9200,Private,,Non-Networked,41.78586,-87.8685,E
ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,Crystal Lake,IL,60014,,Public - Call ahead,Dealership business hours; contact 815-459-2288 for more information,Non-Networked,42.226647,-88.306745,E
ELEC,Jim M'Lady Nissan,5656 Northwest Hwy,Crystal Lake,IL,60014,,Private,,Non-Networked,42.226647,-88.306745,E
ELEC,Crown Nissan - Decatur,165 W Pershing Rd,Decatur,IL,62526,217-877-4440,Public - Call ahead,Dealership business hours,Non-Networked,39.876,-88.95908,E
ELEC,Crown Nissan - Decatur,165 W Pershing Rd,Decatur,IL,62526,217-877-4440,Private,,Non-Networked,39.876,-88.95908,E
ELEC,Ken Nelson Auto Plaza,928 N Galena Ave,Dixon,IL,61021,815-288-4455,Public - Call ahead,Dealership business hours,Non-Networked,41.856583,-89.489398,E
ELEC,Bill Kay's Nissan - Downers Grove,1601 Ogden Ave,Downers Grove,IL,60515,630-969-3200,Public - Call ahead,Dealership business hours,Non-Networked,41.807887,-88.024848,E
ELEC,Bill Kay's Nissan - Downers Grove,1601 Ogden Ave,Downers Grove,IL,60515,630-969-3200,Private,,Non-Networked,41.807887,-88.024848,E
ELEC,McGrath Nissan,945 E Chicago St,Elgin,IL,60120,847-888-2030,Public - Call ahead,Dealership business hours,Non-Networked,42.033769,-88.255193,E
ELEC,McGrath Nissan,945 E Chicago St,Elgin,IL,60120,847-888-2030,Private,,Non-Networked,42.033769,-88.255193,E
ELEC,The Autobarn Nissan,1012 Chicago Ave,Evanston,IL,60202,847-475-8200,Private,,Non-Networked,42.03616,-87.680149,E
ELEC,Galesburg Nissan,2080 N Henderson St,Galesburg,IL,61401,309-342-4121,Public - Call ahead,Dealership business hours,Non-Networked,40.973058,-90.383695,E
ELEC,KANE COUNTY KANE COURTHOUSE,100 S 3rd St,Geneva,IL,60134,888-758-4389,Public,24 hours daily,ChargePoint Network,41.886523,-88.309239,E
ELEC,Glendale Nissan,484 North Ave,Glendale Heights,IL,60139,630-469-6100,Public - Call ahead,Dealership business hours,Non-Networked,41.904021,-88.068043,E
ELEC,Glendale Nissan,484 North Ave,Glendale Heights,IL,60139,630-469-6100,Private,,Non-Networked,41.904021,-88.068043,E
ELEC,Gerald Nissan - North Aurora,213 Hansen Blvd,North Aurora,IL,60542,630-907-0800,Public - Call ahead,Dealership business hours,Non-Networked,41.79828,-88.37145,E
ELEC,Gerald Nissan - North Aurora,213 Hansen Blvd,North Aurora,IL,60542,630-907-0800,Private,,Non-Networked,41.79828,-88.37145,E
ELEC,Nissan of St Charles,2535 E Main St,St. Charles,IL,60174,630-584-3900,Public - Call ahead,Dealership business hours,Non-Networked,41.920486,-88.284011,E
ELEC,Nissan of St Charles,2535 E Main St,St. Charles,IL,60174,630-584-3900,Private,,Non-Networked,41.920486,-88.284011,E
ELEC,Carle BroMenn Medical Center,610 W Virginia Ave,Normal,IL,61761,309-454-1400,Public,24 hours daily; see front desk to access,Non-Networked,40.49813,-88.991628,E
ELEC,Martin Nissan,5240 Golf Rd,Skokie,IL,60077,847-965-3460,Public - Call ahead,Dealership business hours,Non-Networked,42.05569,-87.75808,E
ELEC,Martin Nissan,5240 Golf Rd,Skokie,IL,60077,847-965-3460,Private,,Non-Networked,42.05569,-87.75808,E
ELEC,Nissan of South Holland,16269 Van Dam Rd,South Holland,IL,60473,708-333-2000,Public - Call ahead,Dealership business hours,Non-Networked,41.598505,-87.5824,E
ELEC,Nissan of South Holland,16269 Van Dam Rd,South Holland,IL,60473,708-333-2000,Private,,Non-Networked,41.598505,-87.5824,E
ELEC,Green Nissan,4801 W Wabash Ave,Springfield,IL,62711,217-787-7620,Public - Call ahead,Dealership business hours,Non-Networked,39.757002,-89.740821,E
ELEC,Green Nissan,4801 W Wabash Ave,Springfield,IL,62711,217-787-7620,Private,,Non-Networked,39.757002,-89.740821,E
ELEC,Woodfield Nissan,700 W Higgins Rd,Hoffman Estates,IL,60169,847-310-1900,Public - Call ahead,Dealership business hours,Non-Networked,42.050116,-88.097379,E
ELEC,Woodfield Nissan,700 W Higgins Rd,Hoffman Estates,IL,60169,847-310-1900,Private,,Non-Networked,42.050116,-88.097379,E
ELEC,Thomas Nissan - Joilet,1421 N Larkin Ave,Joliet,IL,60435,815-741-5353,Public - Call ahead,Dealership business hours,Non-Networked,41.548858,-88.12682,E
ELEC,Thomas Nissan - Joilet,1421 N Larkin Ave,Joliet,IL,60435,815-741-5353,Private,,Non-Networked,41.548858,-88.12682,E
ELEC,Liberty Nissan,920 S Milwaukee Ave,Libertyville,IL,60048,847-680-8000,Public - Call ahead,Dealership business hours,Non-Networked,42.271355,-87.949478,E
ELEC,Liberty Nissan,920 S Milwaukee Ave,Libertyville,IL,60048,847-680-8000,Private,,Non-Networked,42.271355,-87.949478,E
ELEC,Anderson Nissan,6555 E State St,Rockford,IL,61108,815-633-3460,Public - Call ahead,Dealership business hours,Non-Networked,42.267854,-88.98865,E
ELEC,Nissan of Marian,3209 Banterra Dr,Marion,IL,62959,618-993-5000,Private,,Non-Networked,37.74626,-88.985731,E
ELEC,Hawkinson Nissan,5513 Miller Cir Dr,Matteson,IL,60443,708-720-4800,Public - Call ahead,Dealership business hours,Non-Networked,41.505031,-87.748285,E
ELEC,Hawkinson Nissan,5513 Miller Cir Dr,Matteson,IL,60443,708-720-4800,Private,,Non-Networked,41.505031,-87.748285,E
ELEC,KC Summers Nissan,2404 Lake Land Blvd,Mattoon,IL,61938,217-235-4136,Public - Call ahead,Dealership business hours,Non-Networked,39.45973,-88.37647,E
ELEC,KC Summers Nissan,2404 Lake Land Blvd,Mattoon,IL,61938,217-235-4136,Private,,Non-Networked,39.45973,-88.37647,E
ELEC,Al Piemonte Nissan,1600 W North Ave,Melrose Park,IL,60160,708-343-3800,Public - Call ahead,Dealership business hours,Non-Networked,41.90699,-87.85403,E
ELEC,Al Piemonte Nissan,1600 W North Ave,Melrose Park,IL,60160,708-343-3800,Private,,Non-Networked,41.90699,-87.85403,E
ELEC,Courtesy Car City,2301 39th Ave,Moline,IL,61265,309-764-6700,Public - Call ahead,Dealership business hours,Non-Networked,41.473755,-90.504579,E
ELEC,Courtesy Car City,2301 39th Ave,Moline,IL,61265,309-764-6700,Private,,Non-Networked,41.473755,-90.504579,E
ELEC,Gerald Nissan,1575 W Ogden Ave,Naperville,IL,60540,630-355-3337,Public - Call ahead,Dealership business hours,Non-Networked,41.76702,-88.18772,E
ELEC,Gerald Nissan,1575 W Ogden Ave,Naperville,IL,60540,630-355-3337,Private,,Non-Networked,41.76702,-88.18772,E
ELEC,Star Nissan,5757 W Touhy Ave,Niles,IL,60714,847-647-1555,Public - Call ahead,Dealership business hours,Non-Networked,42.01155,-87.771151,E
ELEC,Star Nissan,5757 W Touhy Ave,Niles,IL,60714,847-647-1555,Private,,Non-Networked,42.01155,-87.771151,E
ELEC,Kelly Nissan,4300 W 95th St,Oak Lawn,IL,60453,708-499-1000,Public - Call ahead,Dealership business hours,Non-Networked,41.720728,-87.728594,E
ELEC,Kelly Nissan,4300 W 95th St,Oak Lawn,IL,60453,708-499-1000,Private,,Non-Networked,41.720728,-87.728594,E
ELEC,Orland Park Nissan,8550 W 159th St,Orland Park,IL,60462,708-403-1300,Public - Call ahead,Dealership business hours,Non-Networked,41.602458,-87.827796,E
ELEC,Orland Park Nissan,8550 W 159th St,Orland Park,IL,60462,708-403-1300,Private,,Non-Networked,41.602458,-87.827796,E
ELEC,Uftring Nissan,7400 N Allen Rd,Peoria,IL,61614,309-690-6200,Public - Call ahead,Dealership business hours,Non-Networked,40.777601,-89.630469,E
ELEC,JP Motors,3675 Frontage Rd,Peru,IL,61354,815-223-7000,Public - Call ahead,Dealership business hours,Non-Networked,41.35242,-89.12457,E
ELEC,JP Motors,3675 Frontage Rd,Peru,IL,61354,815-223-7000,Private,,Non-Networked,41.35242,-89.12457,E
ELEC,Autocenters Nissan,1825 E Edwardsville Rd,Wood River,IL,62095,618-251-3000,Public - Call ahead,Dealership business hours,Non-Networked,38.85882,-90.06678,E
ELEC,Vision Care Associates,4933 Benchmark Centre Dr,Swansea,IL,62226,,Private,For client use only,Non-Networked,38.571138,-89.96433,E
ELEC,Lang's Auto Service,4947 Main St,Downers Grove,IL,60515,,Private,,Non-Networked,41.796821,-88.010142,E
ELEC,Prairie Trail School,13600 W Wadsworth Rd,Wadsworth,IL,60083,847-623-4333,TEMPORARILY UNAVAILABLE (Public),24 hours daily,Non-Networked,42.432421,-87.896197,T
ELEC,City of Alton - City Hall,101 E 3rd St,Alton,IL,62002,618-463-3500,Public,24 hours daily,Non-Networked,38.890647,-90.183944,E
ELEC,Libertyville Mitsubishi,1119 S Milwaukee Ave,Libertyville,IL,60048,,Private,Dealership business hours; for service use only,Non-Networked,42.26795,-87.950908,E
ELEC,City of Bloomington - Lincoln Parking Deck,105 E Front,Bloomington,IL,61701,309-434-2220,Public,24 hours daily; pay lot,Non-Networked,40.478605,-88.993139,E
ELEC,Vogler Motor Co,1170 E Main St,Carbondale,IL,62901,618-457-8135,Public - Call ahead,Dealership business hours; contact in advance,Non-Networked,37.730396,-89.19403,E
ELEC,Uptown Station Parking Deck,11 Uptown Cir,Normal,IL,61761,309-454-9590,Public,24 hours daily; pay lot,Non-Networked,40.508628,-88.984814,E
ELEC,FVRC UNIT 1 CAROL STREAM PK,910 N Gary Ave,Carol Stream,IL,60188,888-758-4389,Public,24 hours daily,ChargePoint Network,41.928005,-88.121847,E
ELEC,ABT ELECTRONICS ABT #1,1200 Milwaukee Ave,Glenview,IL,60025,888-758-4389,Public,24 hours daily,ChargePoint Network,42.078903,-87.863167,E
ELEC,Lewis & Clark Community College,5800 Godfrey Rd,Godfrey,IL,62035,618-468-2782,Public,24 hours daily; visit security desk after normal business hours to use,Non-Networked,38.950131,-90.195222,E
ELEC,CITYHPIL PORT CLINTON SQ,600 Central Ave,Highland Park,IL,60035,888-758-4389,Public,24 hours daily,ChargePoint Network,42.184825,-87.799718,E
ELEC,VILLAGE STATION SEARLE PARKWAY,8156 Skokie Blvd,Skokie,IL,60077,888-758-4389,Public,24 hours daily,ChargePoint Network,42.029866,-87.747938,E
ELEC,Golf Mill Ford,9401 N Milwaukee Ave,Niles,IL,60714,847-470-9800,Public - Call ahead,Dealership business hours,Non-Networked,42.051495,-87.833913,E
ELEC,LF CITY HALL CITY HALL LOT,220 E Deerpath Rd,Lake Forest,IL,60045,888-758-4389,Public,24 hours daily,ChargePoint Network,42.251844,-87.842189,E
ELEC,JT JR COLLEGE STATION 01,Joliet Jr College,Joliet,IL,60431,888-758-4389,Public,24 hours daily,ChargePoint Network,41.504261,-88.177527,E
ELEC,900 SELF PARK PLUG AND SHOP 2,911 N. Rush St.,Chicago,IL,60611,888-758-4389,Public,24 hours daily,ChargePoint Network,41.89976,-87.626372,E
ELEC,ASF-KEYSTONE AMSTED RAIL,1000-1080 Niedringhaus Ave,Granite City,IL,62040,888-758-4389,Public,24 hours daily,ChargePoint Network,38.701351,-90.160186,E
ELEC,EVSP WALGREENS STORE 15364,635 Chicago Ave,Evanston,IL,60202,888-758-4389,Public,24 hours daily,ChargePoint Network,42.03007,-87.678149,E
ELEC,3RD FLOOR GREENWAY-3,60 W Kinzie St,Chicago,IL,60661,888-758-4389,Public,24 hours daily,ChargePoint Network,41.889356,-87.630403,E
ELEC,"EVANSTON, IL MAPLE AV GARAGE",1810 Maple Ave,Evanston,IL,60202,888-758-4389,Public,24 hours daily,ChargePoint Network,42.050171,-87.685127,E
ELEC,BILL JACOBS BMW STATION 01,2495 Aurora Ave,Naperville,IL,60540,888-758-4389,Public,24 hours daily,ChargePoint Network,41.76393,-88.19425,E
ELEC,PARKING A MAIN GARAGE,5841 S Maryland Ave,Chicago,IL,60637,888-758-4389,Public,24 hours daily,ChargePoint Network,41.78872,-87.60502,E
ELEC,PARKING A DREXEL GARAGE,6054-6098 S Drexel Ave,Chicago,IL,60637,888-758-4389,Public,24 hours daily,ChargePoint Network,41.784474,-87.604518,E
ELEC,Kankakee Community College - North Extension Center,450 N Kinzie Ave,Bradley,IL,60915,815-802-8100,Public,24 hours daily,Non-Networked,41.150316,-87.850309,E
ELEC,Western Avenue Nissan,7410 S Western Ave,Chicago,IL,60636,773-776-8200,Public - Call ahead,Dealership business hours,Non-Networked,41.758552,-87.683346,E
ELEC,PARKING GARAGE 111SW STATION 2,111 S Wacker Dr,Chicago,IL,60606,888-758-4389,TEMPORARILY UNAVAILABLE (Public),24 hours daily,ChargePoint Network,41.880164,-87.636483,T
ELEC,FVIA FVIA,1996 S Kirk Rd,Geneva,IL,60134,888-758-4389,TEMPORARILY UNAVAILABLE (Public),24 hours daily,ChargePoint Network,41.872216,-88.279761,T
ELEC,HOOTERS COUNTRYSIDE,5925 South La Grange Road,Countryside,IL,60525,888-758-4389,Public,24 hours daily,ChargePoint Network,41.781666,-87.867545,E
ELEC,Illinois State University - Bone Center,100 N University St,Normal,IL,61761,309-438-4636,Public,24 hours daily,Non-Networked,40.511327,-88.992281,E
ELEC,Illinois State University - Science Lab,342 W North St,Normal,IL,61761,309-438-2111,Public,24 hours daily,Non-Networked,40.509949,-88.987348,E
ELEC,Illinois State University - The Alamo,319 W North St,Normal,IL,61761,309-452-7400,Public,24 hours daily,Non-Networked,40.509305,-88.988675,E
ELEC,City of Bloomington - Pepsi Ice Center,201 S Roosevelt Ave,Bloomington,IL,61701,309-434-2737,Public,24 hours daily,Non-Networked,40.477258,-88.996413,E
ELEC,McLean County,201 E Washington St,Bloomington,IL,61701,812-349-3400,Public,24 hours daily,Non-Networked,40.479431,-88.992463,E
ELEC,McLean County - Chamber of Commerce,2203 E Empire St,Bloomington,IL,61704,309-829-6324,Public,24 hours daily,Non-Networked,40.487971,-88.945226,E
ELEC,Illinois Wesleyan University,1211 N Park St,Bloomington,IL,61701,309-556-1000,Public,24 hours daily,Non-Networked,40.489833,-88.989421,E
ELEC,Commerce Bank,1500 E College,Normal,IL,61761,800-453-2265,Public,24 hours daily,Non-Networked,40.510935,-88.960112,E
ELEC,Holiday Inn Express,1715 Parkway Plaza,Normal,IL,61761,309-862-1800,Public,24 hours daily; guest use only,Non-Networked,40.513574,-88.949758,E
ELEC,Carle BroMenn,1304 Franklin,Normal,IL,61761,309-454-0755,Public,24 hours daily,Non-Networked,40.496332,-88.99096,E
ELEC,Carle BroMenn,1304 Franklin,Normal,IL,61761,309-454-0755,Private,Employee use only,Non-Networked,40.496332,-88.99096,E
ELEC,Westminster Village,2025 E Lincoln,Bloomington,IL,61701,309-663-6474,Public,24 hours daily,Non-Networked,40.466548,-88.960584,E
ELEC,Marriott Hotel and Conference Center,201 Broadway Ave,Normal,IL,61761,309-862-9000,Public,24 hours daily; guest use only; parking fee,Non-Networked,40.508519,-88.985983,E
ELEC,Twin City Wood Recycling,1606 W Oakland Ave,Bloomington,IL,61701,309-827-9663,Public,24 hours daily,Non-Networked,40.473049,-89.016574,E
ELEC,BMW NORTHFIELD STATION 01,700 Frontage Rd,Northfield,IL,60093,888-758-4389,Public,24 hours daily,ChargePoint Network,42.111071,-87.775361,E
ELEC,Illini Nissan,615 W Marketview Dr,Champaign,IL,61822,217-352-8910,Public - Call ahead,Dealership business hours,Non-Networked,40.136567,-88.2538,E
ELEC,Illini Nissan,615 W Marketview Dr,Champaign,IL,61822,217-352-8910,Private,,Non-Networked,40.136567,-88.2538,E
ELEC,DUPAGE CO ADMIN 1,421 N County Farm Rd,Wheaton,IL,60187,888-758-4389,Public,24 hours daily,ChargePoint Network,41.867008,-88.141331,E
ELEC,DISTRICT 214 FVEC 3,2121 S Goebbert Rd,Arlington Heights,IL,60005,888-758-4389,Public,24 hours daily,ChargePoint Network,42.047317,-87.973312,E
ELEC,DISTRICT 214 BGHS 1,1100 W Dundee Rd,Buffalo Grove,IL,60089,888-758-4389,Public,24 hours daily,ChargePoint Network,42.141096,-87.982695,E
ELEC,ADVOCATE SHERMAN HOSP,1425 N Randall Rd,Elgin,IL,60123,888-758-4389,Public,24 hours daily,ChargePoint Network,42.071215,-88.331027,E
ELEC,Roesch Ford,333 W Grand Ave,Bensenville,IL,60106,630-279-6000,Public - Call ahead,Dealership business hours,Non-Networked,41.931594,-87.951098,E
ELEC,Sam Leman Ford,1508 Morrissey Dr,Bloomington,IL,61701,,Private,Dealership business hours; for customer use only,Non-Networked,40.460395,-88.971104,E
ELEC,National Great Rivers Research and Education Center,1 Confluence Way,East Alton,IL,62002,618-468-2782,TEMPORARILY UNAVAILABLE (Public),24 hours daily,Non-Networked,38.866724,-90.140662,T
ELEC,1000 LAKE SHORE 1000 LSD,130-138 E Oak St,Chicago,IL,60611,888-758-4389,Public,24 hours daily,ChargePoint Network,41.90085,-87.62452,E
ELEC,"CFP II, LLC 206",240 E Illinois St,Chicago,IL,60611,888-758-4389,Public,24 hours daily,ChargePoint Network,41.891113,-87.620957,E
ELEC,EV STATION 1 EV STATION 1,646 Lee St,Des Plaines,IL,60016,888-758-4389,Public,24 hours daily,ChargePoint Network,42.041197,-87.887838,E
ELEC,HY VEE BLMGTON NORTH,1403 N Veterans Pkwy,Bloomington,IL,61704,888-758-4389,Public,24 hours daily,ChargePoint Network,40.497299,-88.950601,E
ELEC,SW IL COLLEGE SWGCC,4950 Maryville Rd,Granite City,IL,62040,888-758-4389,Public,24 hours daily,ChargePoint Network,38.750344,-90.10092,E
ELEC,"EVANSTON, IL SHERMAN PLAZA 2",821 Davis St,Evanston,IL,60201,888-758-4389,Public,24 hours daily,ChargePoint Network,42.047287,-87.683069,E
ELEC,Western Illinois University - Spencer Recreation Center,1 University Cir,Macomb,IL,61455,309-298-1834 x245,Public,24 hours daily,Non-Networked,40.470868,-90.683902,E
ELEC,EV PILOT 3010 GRAND,3010 Grand Ave,Waukegan,IL,60085,888-758-4389,Public,24 hours daily,ChargePoint Network,42.37262,-87.875585,E
ELEC,North Central College - Old Main,30 N Brainard St,Naperville,IL,60540,,Public,"For employees, students, and campus visitors only",Non-Networked,41.7704,-88.146,E
ELEC,North Central College - Residence Hall and Recreation Center,440 S Brainard St,Naperville,IL,60540,,Public,"For employees, students, and campus visitors only",Non-Networked,41.770158,-88.144216,E
ELEC,Argonne National Laboratory,9700 S. Cass Avenue,Lemont,IL,60439,,Private,DOE fleet use only,Non-Networked,41.71298,-87.960781,E
ELEC,DISTRICT 214 JHHS 1,1900 E Thomas St,Arlington Heights,IL,60004,888-758-4389,Public,24 hours daily,ChargePoint Network,42.103029,-87.959151,E
ELEC,DISTRICT 214 PHS 1,801 W Kensington Rd,Mount Prospect,IL,60056,888-758-4389,Public,24 hours daily,ChargePoint Network,42.079464,-87.949087,E
ELEC,DISTRICT 214 EGHS 1,500 W Elk Grove Blvd,Elk Grove Village,IL,60007,888-758-4389,Public,24 hours daily,ChargePoint Network,42.01231,-87.997572,E
ELEC,DISTRICT 214 WHS 1,900 S Elmhurst Rd,Wheeling,IL,60090,888-758-4389,Public,24 hours daily,ChargePoint Network,42.126875,-87.937432,E
ELEC,DISTRICT 214 RMHS 1,2901 Central Rd,Rolling Meadows,IL,60008,888-758-4389,Public,24 hours daily,ChargePoint Network,42.065841,-88.016289,E
ELEC,Zeigler Nissan,18850 W Grand Ave,Lake Villa,IL,60046,,Public - Call ahead,Dealership business hours; contact 847-264-4572 for more information,Non-Networked,42.386748,-88.000335,E
ELEC,Zeigler Nissan,18850 W Grand Ave,Lake Villa,IL,60046,,Private,Service center use only,Non-Networked,42.386748,-88.000335,E
ELEC,ADVOCATE CHRIST_GARAGE A,9439 S Kostner Ave,Oak Lawn,IL,60453,888-758-4389,Public,24 hours daily,ChargePoint Network,41.721631,-87.731365,E
ELEC,"EVANSTON, IL CIVIC CENTER SO",2100 Ridge Ave,Evanston,IL,60201,888-758-4389,Public,24 hours daily,ChargePoint Network,42.056743,-87.687372,E
ELEC,IRVINE  CO  OFC 71SW L1 09-10,71 S Wacker Dr,Chicago,IL,60606,888-758-4389,Public,24 hours daily,ChargePoint Network,41.880947,-87.636038,E
ELEC,OMPE ONE MUSEUM PARK,1201 S Prairie Ave,Chicago,IL,60605,888-758-4389,Public,24 hours daily,ChargePoint Network,41.866571,-87.621756,E
ELEC,Monmouth College,700 E Broadway,Monmouth,IL,61462,309-457-2401,Public,24 hours daily,Non-Networked,40.9127485,-90.6387947,E
ELEC,Oakbrook Terrace Tower,1 Tower Ln,Oakbrook Terrace,IL,60181,,Private,24 hours daily; for employee and guest use only,Non-Networked,41.8579232,-87.9546118,E
ELEC,ComEd,2 Lincoln Center,Oakbrook Terrace,IL,60181,,Private,,Non-Networked,41.845827,-87.985467,E
ELEC,71086 900910,900 N Lake Shore Dr,Chicago,IL,60611,888-758-4389,Public,24 hours daily,ChargePoint Network,41.899474,-87.619448,E
ELEC,1KFULTON 1KFULTON,1000 W Fulton Market,Chicago,IL,60607,888-758-4389,Public,24 hours daily,ChargePoint Network,41.886859,-87.6525,E
ELEC,Nicholas Conservatory and Gardens,1354 N 2nd St,Rockford,IL,61107,815-987-8858,Public,24 hours daily,Non-Networked,42.283521,-89.06841,E
ELEC,Swedish American Hospital,1418 E State St,Rockford,IL,61104,815-968-4400,Public,24 hours daily,Non-Networked,42.266938,-89.07255,E
ELEC,JMM SERVICE,855 Rand Rd,Des Plaines,IL,60016,888-758-4389,Public,24 hours daily,ChargePoint Network,42.056564,-87.903563,E
ELEC,HY VEE SPRGFLD IL WEST,2115 S MacArthur Blvd,Springfield,IL,62704,888-758-4389,Public,24 hours daily,ChargePoint Network,39.775297,-89.669018,E
ELEC,PRUDENTIALPLAZA STATION 01,130 E Randolph St,Chicago,IL,60601,888-758-4389,Public,24 hours daily,ChargePoint Network,41.88536,-87.623191,E
ELEC,Veterans Administration - Illiana Health Care System,1900 E Main St,Danville,IL,61832,,Private - Government only,,Non-Networked,40.131991,-87.59227,E
ELEC,Veterans Administration - North Chicago,3001 Greenbay Rd N,North Chicago,IL,60064,,Private,,Non-Networked,42.308183,-87.862407,E
ELEC,BOLINGBROOK STATION#1,420 Remington Blvd,Bolingbrook,IL,60440,888-758-4389,Public,24 hours daily,ChargePoint Network,41.682163,-88.084096,E
ELEC,PARK FOREST EVS PARK FOREST EVS,367 artists walk,Park Forest,IL,60466,888-758-4389,Public,24 hours daily,ChargePoint Network,41.482352,-87.679954,E
ELEC,RPS ROGERS PARK SOL,7331 N Sheridan Rd,Chicago,IL,60626,888-758-4389,Public,24 hours daily,ChargePoint Network,42.014848,-87.664015,E
ELEC,540 W. MADISON LL1-4,13 N Jefferson St,Chicago,IL,60661,888-758-4389,Public,24 hours daily,ChargePoint Network,41.882368,-87.642179,E
ELEC,- NIU,175 Normal Rd,DeKalb,IL,60115,888-758-4389,Public,24 hours daily,ChargePoint Network,41.932405,-88.766603,E
ELEC,Waterway,2300 Waukegan Rd,Northbrook,IL,60062,847-849-1120,Public,24 hours daily,Non-Networked,42.11014,-87.802433,E
ELEC,EDENS OUTSIDE,630 Dundee Rd,Northbrook,IL,60062,888-758-4389,Public,24 hours daily,ChargePoint Network,42.139011,-87.797141,E
ELEC,ONE SOUTH WACKE OSW STATION #1,1 S Wacker Dr,Chicago,IL,60606,888-758-4389,Public,24 hours daily,ChargePoint Network,41.881597,-87.636514,E
ELEC,OAK PARK 1 LAKE FOREST 2,170 Forest Ave,Oak Park,IL,60301,888-758-4389,Public,24 hours daily,ChargePoint Network,41.889278,-87.7996,E
ELEC,LIBERTYVILLE W CHURCH,123 W Church St,Libertyville,IL,60048,888-758-4389,Public,24 hours daily,ChargePoint Network,42.286146,-87.95561,E
ELEC,ELECTRONIC THE BERNADIN,750 N Wabash Ave,Chicago,IL,60611,888-758-4389,Public,24 hours daily,ChargePoint Network,41.896407,-87.626875,E
