Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Hayford Ford,1330 301st Ave NE,Located on the south side,Isanti,MN,55040,,763-689-5555,E,,Public - Call ahead,24 hours daily,,,,,,1,,,Non-Networked,,200-9,45.514149,-93.237088,2023-04-06,64402,2024-01-31 22:07:01 UTC,P,,,2014-09-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Polar Chevrolet Mazda,1801 E County Rd F,,White Bear Lake,MN,55110,,,E,,Private,Service center use only; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,2,,1,,Non-Networked,,200-9,45.064992,-93.024212,2024-07-11,64403,2024-07-11 19:05:43 UTC,P,,,2014-09-01,,,,,J1772COMBO NEMA520,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,New Brighton Ford,1100 Silver Lake Rd NW,,New Brighton,MN,55112,,,E,,Private,Service center use only,,,,,,1,,,Non-Networked,,200-9,45.066177,-93.220016,2024-08-15,64404,2024-08-15 19:57:12 UTC,P,,,2014-09-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,Rosedale Chevrolet,2845 Highway 35 W,,Roseville,MN,55113,,651-636-0340,E,,Public - Call ahead,Dealership business hours,,,,,,3,,,Non-Networked,,200-9,45.026189,-93.193662,2023-05-03,64405,2024-01-31 22:07:01 UTC,P,,,2014-09-01,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,St. Louis Park - City Hall,5005 Minnetonka Blvd,,St. Louis Park,MN,55416,,952-924-2500,E,,Public,24 hours daily; but 3 hour time limit for non-overnight,,,,,,2,,,Non-Networked,,200-9,44.94674,-93.342971,2023-01-10,64410,2023-02-14 15:54:11 UTC,P,,,2014-09-01,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Fat Jack's Cabaret,1682 Wall Ave,,Bock,MN,56313,,320-556-3682,E,,Public,"4:30pm-1am T-Th, 1pm-2am F-Sat, 3:30pm-12am Sun; Drivers must bring their own J1772 cordset for Level 1 charging",,,,,1,,,,Non-Networked,,200-9,45.786248,-93.552278,2023-01-10,64413,2023-02-14 15:54:11 UTC,P,,,2013-09-01,,,,,NEMA1450,US,,,,Public,,public,,,OTHER_ENTERTAINMENT,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Morrie's Nissan,7875 Brooklyn Blvd,,Brooklyn Park,MN,55445,,,E,,Public,Dealership business hours; contact 888-623-2178 for more information,,,,,,2,1,,Non-Networked,,GPS,45.093871,-93.372061,2024-02-12,64414,2024-02-12 15:25:05 UTC,P,,,2013-09-01,,,,,CHADEMO J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,false,,,,,,,,,false,
ELEC,Green Rock Apartments,1018 19th Ave NE,,Minneapolis,MN,55418,,612-372-5048,E,,Public,8am-5pm daily,,,,,,1,,,Non-Networked,,200-9,45.007619,-93.244688,2023-01-10,64809,2023-02-14 15:54:11 UTC,P,,,2015-04-30,,,,,J1772,US,,,,Public,,public,,,MULTI_UNIT_DWELLING,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Green Rock Apartments,1501 Portland Ave S,,Minneapolis,MN,55404,,612-372-5048,E,,Public,8am-5pm daily,,,,,,4,,,Non-Networked,,200-9,44.967773,-93.267233,2023-01-10,64811,2023-02-14 15:54:11 UTC,P,,,2015-04-30,,,,,J1772,US,,,,Public,,public,,,MULTI_UNIT_DWELLING,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Green Rock Apartments,2440 Harriet Ave,,Minneapolis,MN,55405,,612-372-5048,E,,Public,8am-5pm M-F,,,,,,1,,,Non-Networked,,200-9,44.957971,-93.285849,2023-02-13,64812,2023-02-14 15:54:11 UTC,P,,,2015-02-28,,,,,J1772,US,,,,Public,,public,,,MULTI_UNIT_DWELLING,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Motel 6 - Owatonna,2365 NW 43rd St,,Owatonna,MN,55060,,507-446-8900,E,,Public,24 hours daily; guest use only,,,,,,1,,,Non-Networked,,GPS,44.135921,-93.254538,2022-04-06,65661,2024-07-01 17:02:06 UTC,P,,,2014-11-15,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,CMC CMC HOSPITAL,701 Dellwood St,This station is located on the north side of the hospital.,Cambridge,MN,55008,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.567308,-93.231202,2024-12-10,66780,2024-12-10 00:38:00 UTC,,,,2015-04-21,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,UMN 214-EVCHG-1,400 21st Ave S,Level 2 east wall,Minneapolis,MN,55455,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,44.969677,-93.243328,2024-12-10,67091,2024-12-10 01:00:20 UTC,,,,2015-05-13,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,beKind Salon and Spa,2479 Co Rd E East,,St. Paul,MN,55110,,651-500-1969,E,,Public - Call ahead,9am-8pm daily; customers only,,,,,,1,,,Non-Networked,,GPS,45.050399,-92.995996,2024-07-11,69087,2024-07-11 19:05:43 UTC,P,,,2015-08-16,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,LIFESOURCE EV 1,2225 West River Rd N,,Minneapolis,MN,55411,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.002323,-93.277028,2024-12-10,69122,2024-12-10 00:35:30 UTC,,,,2015-08-20,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,NORTH ST PAUL CITY HALL,2400 Margaret Street North,In front of the North Saint Paul Fire Station,North St Paul,MN,55109,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.013696,-92.991697,2024-12-10,69605,2024-12-10 00:38:47 UTC,,,,2015-08-29,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,
ELEC,Wayzata Nissan,15906 Wayzata Blvd,,Wayzata,MN,55391,,952-475-3939,E,,Public - Call ahead,Dealership business hours; for Nissan Leaf use only,,,,,,1,1,,Non-Networked,,200-8,44.97191,-93.48118,2024-02-12,70447,2024-02-12 15:25:05 UTC,P,,,2015-03-03,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Wayzata Nissan,15906 Wayzata Blvd,,Wayzata,MN,55391,,952-475-3939,E,,Private,Service center use only,,,,,,1,,,Non-Networked,,200-8,44.97191,-93.48118,2024-02-12,70469,2024-02-12 15:25:05 UTC,P,,,2015-03-03,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,false,
ELEC,PUBLIC STATIONS NORTH MISS PARK,5101-5177 N Mississippi Dr,"North Mis two seperated lots- the station is in the southern lot, in a stall north of the pool house and picnic pavillion, on the west side of the lot by by a maintenance building",Minneapolis,MN,55430,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,45.048396,-93.283691,2024-12-10,70696,2024-12-10 00:33:30 UTC,,,,2015-10-27,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,Mississippi National River and Recreation Area,,,,false,
ELEC,Morrie's Nissan,7875 Brooklyn Blvd,,Brooklyn Park,MN,55445,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,45.093871,-93.372061,2024-02-12,73470,2024-02-12 15:25:05 UTC,P,,,2013-09-01,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,false,
